SEX,AGE,EDUCATION,INCOME,ACTIVITY,CHURN,NEGTWEETS,STATE
F,50,2,66387,0,0,3,ME
M,39,2,66333,0,1,7,WA
M,56,4,66275,1,0,2,WY
F,63,2,65949,2,0,3,WY
F,62,2,65895,4,0,3,OH
F,44,4,65765,2,0,2,KY
F,52,2,65408,5,0,4,RI
F,70,2,65229,2,0,3,NY
F,58,2,65168,3,0,2,NH
M,39,2,65079,1,1,12,ND
F,37,4,65031,2,0,2,CO
M,64,2,64721,1,0,4,NV
F,24,3,64703,1,1,11,MI
M,56,4,64687,1,0,2,MS
M,23,4,64265,2,0,3,IL
F,24,4,64221,0,1,10,CA
F,35,2,64209,2,0,4,VA
M,60,2,64030,2,0,3,NV
F,36,4,64028,2,0,1,NC
M,52,2,63867,1,1,15,PA
F,73,4,63832,2,0,1,TN
F,47,4,63545,0,1,10,ID
M,44,4,63466,3,0,3,AR
M,81,4,63249,2,0,3,GA
F,46,2,63204,0,1,2,PA
F,75,3,62918,1,1,6,PA
M,38,2,62874,2,0,2,VT
F,45,2,62809,5,0,3,NJ
M,52,3,62702,2,0,2,OK
M,23,2,62673,3,0,2,WA
F,40,2,62667,5,0,4,KS
M,50,3,62556,2,0,3,KS
F,34,4,62526,0,1,11,MD
M,71,2,62425,4,0,3,NE
M,29,2,62405,2,1,1,OR
F,63,3,62276,2,0,3,UT
F,40,4,62231,4,0,5,SD
F,78,2,62112,0,0,2,VT
F,29,2,61948,1,0,4,ID
F,31,4,61893,2,0,4,MI
F,57,4,61889,1,0,2,ME
M,77,3,61773,3,0,3,WA
M,36,4,61701,2,1,11,WA
F,65,4,61543,4,0,3,AR
M,59,2,61153,4,0,3,WA
F,25,2,61078,1,1,11,MD
F,30,4,60982,2,0,3,MA
F,63,4,60808,5,0,4,LA
F,61,2,60773,5,0,1,AZ
M,57,4,60705,2,0,3,NM
F,21,4,60654,0,1,12,ND
M,52,2,60601,1,0,3,CT
F,33,4,60414,2,0,3,OH
M,53,4,60372,1,0,3,RI
M,22,2,60065,1,1,8,WA
M,25,4,59970,2,0,4,FL
M,39,4,59651,2,0,1,GA
F,44,4,59447,3,0,2,PA
F,36,4,59292,5,0,2,ME
M,37,2,59236,0,1,9,MD
F,38,4,59031,2,0,3,GA
M,30,4,58795,0,1,7,MD
M,22,4,58691,1,0,3,PA
M,52,4,58629,2,0,2,WV
M,24,2,58568,2,0,3,SD
F,38,2,58247,1,0,2,UT
M,53,2,58098,1,0,5,KS
M,39,4,57804,4,1,6,ID
F,67,4,57649,0,0,2,ID
M,58,4,57642,0,0,4,MA
F,21,4,57584,3,0,5,VT
F,26,4,57499,5,0,3,PA
F,33,4,57497,2,0,4,DE
M,62,4,57468,2,0,4,AR
M,75,4,57459,2,0,2,WA
F,21,4,57437,1,1,5,OR
M,46,4,57431,2,0,3,TN
F,24,4,57420,3,0,4,NE
F,73,2,57348,2,0,3,TX
M,55,4,57157,1,0,1,FL
M,43,2,57082,1,1,8,ND
M,53,4,57005,3,0,3,MN
F,21,4,56976,0,1,8,MD
F,36,4,56910,3,0,5,MN
F,44,4,56864,0,1,10,MI
M,44,4,56834,0,1,12,PA
F,36,2,56792,4,0,5,MO
F,57,4,56760,5,0,4,WV
M,43,2,56740,1,0,4,MD
M,25,2,56729,2,1,13,ND
F,24,4,56724,2,1,9,WA
M,53,4,56646,4,0,2,NM
F,44,4,56487,0,1,7,ID
F,78,4,56480,2,0,5,FL
F,37,4,56449,0,1,12,CA
M,30,4,56388,3,0,3,AZ
M,44,4,56304,2,0,4,MS
F,69,2,56180,0,1,13,WA
M,29,4,56173,2,1,6,MD
F,37,4,56102,3,0,3,WY
F,38,4,56102,1,0,2,UT
F,53,4,56101,4,0,2,WY
M,26,4,56097,1,1,12,MD
M,49,4,56091,2,0,2,NC
M,47,4,56065,2,0,3,MN
F,53,4,55777,1,0,4,MO
M,57,2,55650,1,0,2,PA
M,38,4,55621,4,0,3,NH
F,52,4,55619,0,0,3,RI
F,47,4,55580,1,0,3,FL
F,25,4,55307,2,1,10,WA
F,79,4,55242,2,0,3,IA
M,47,4,55225,1,0,2,NJ
M,33,4,55157,5,0,5,IN
F,23,4,55092,4,0,4,KS
M,37,4,54847,4,0,3,ME
F,68,2,54834,2,0,3,MO
M,43,4,54801,2,0,2,MI
F,50,4,54765,3,0,4,RI
F,55,4,54655,2,0,3,CO
F,29,4,54553,4,0,1,LA
F,39,4,54513,2,0,2,VT
F,32,2,54513,4,0,3,NY
F,56,4,54476,0,0,5,IL
F,60,4,54382,2,0,3,MN
F,50,4,54331,2,0,4,IA
M,58,4,54258,1,0,2,ME
F,62,4,54182,2,0,2,VA
M,43,4,54098,1,1,9,ID
M,22,4,54078,2,1,11,PA
F,45,4,54069,1,1,14,CA
M,49,4,54012,2,0,3,AZ
F,65,2,53822,4,0,3,ID
F,33,4,53797,4,0,2,IL
M,57,2,53751,1,0,3,AK
M,34,4,53700,2,0,3,TX
F,29,4,53603,5,1,6,MD
M,55,4,53526,3,0,4,TN
F,55,2,53399,3,1,14,MD
M,32,4,53390,2,0,1,KS
F,74,4,53366,2,0,4,OH
F,55,2,53328,0,1,14,MD
M,38,4,53202,2,0,4,IA
F,57,2,53156,1,0,2,AZ
M,56,4,53066,1,0,4,OK
M,37,4,53052,3,1,16,ID
M,28,2,53043,1,1,12,ND
F,48,2,52982,2,0,2,NH
M,45,2,52932,4,0,2,WA
F,65,2,52835,1,0,4,MN
M,44,4,52828,1,1,8,WA
F,30,4,52733,2,0,4,OH
F,32,2,52711,3,0,1,NE
F,52,4,52502,2,0,4,MS
F,28,4,52474,1,1,13,WA
M,32,4,52349,1,1,17,MI
F,37,4,52246,2,1,4,PA
F,56,4,52208,5,0,2,DE
F,48,4,52165,4,0,3,ND
M,47,4,52092,2,0,5,MT
M,44,2,52057,1,1,12,PA
M,36,4,52042,5,1,6,WA
F,51,4,51928,2,0,3,MT
F,44,4,51891,2,0,3,SD
M,51,4,51891,4,0,1,AK
F,21,4,51887,5,0,2,SC
F,47,4,51880,2,1,8,PA
F,53,4,51682,2,0,3,NV
M,42,4,51638,2,0,2,NE
M,26,4,51633,1,1,10,OR
F,42,4,51601,3,0,3,TN
F,42,2,51594,1,1,10,OR
F,56,4,51594,5,0,3,LA
F,33,4,51582,0,1,9,WA
M,68,2,51469,4,0,3,KY
F,54,2,51446,5,0,3,SD
F,39,2,51373,0,1,6,ID
F,38,2,51243,5,0,3,NY
F,46,2,51228,5,0,2,IN
M,20,4,51219,5,1,8,ID
M,56,4,51216,2,0,3,OK
M,42,2,51112,0,1,14,WA
M,69,2,50991,2,0,4,GA
M,27,2,50884,0,1,10,MD
M,40,4,50802,1,1,17,WA
F,26,4,50721,4,0,4,MI
M,37,2,50656,1,1,9,ID
M,60,2,50648,2,0,6,CA
F,53,4,50625,3,0,3,WA
M,44,4,50549,1,0,3,IN
F,59,4,50453,4,0,4,ID
F,67,4,50356,2,0,3,AK
F,52,4,50309,2,0,1,TN
F,26,4,50297,3,0,4,PA
F,44,4,50205,0,1,7,OR
F,34,2,50192,2,0,4,OK
F,41,2,50185,1,0,3,AK
M,80,4,50131,3,0,3,NE
M,49,2,50097,4,0,2,NY
F,51,4,49921,3,0,3,NH
M,47,4,49780,0,1,8,WA
F,34,4,49670,2,0,2,WY
F,29,4,49663,5,1,13,MI
M,60,4,49612,2,0,3,CO
F,74,4,49597,1,1,15,ND
M,36,2,49588,1,1,10,PA
F,37,2,49541,3,0,4,WI
M,25,2,49539,1,1,8,ND
M,28,2,49450,2,1,12,OR
M,53,4,49439,5,0,4,PA
F,54,4,49404,4,0,4,DC
F,47,4,49372,1,1,9,WA
F,41,4,49347,5,0,3,ID
M,50,4,49247,4,0,3,SD
F,72,2,49161,2,0,3,NM
M,36,2,49090,1,1,6,OR
F,47,2,49028,4,0,2,NE
F,46,4,48977,1,0,3,NJ
F,31,2,48891,0,1,11,CA
M,37,2,48671,4,0,3,ME
M,33,2,48607,5,0,3,RI
F,24,2,48558,1,1,7,PA
M,24,4,48484,3,1,12,ID
M,49,4,48287,5,0,3,CO
M,57,2,48217,3,1,10,CA
M,56,4,48173,2,0,4,KY
M,70,4,48058,0,0,2,IN
M,61,4,48034,2,0,3,NE
F,64,4,48018,1,1,14,WA
M,51,2,47974,4,0,2,NJ
F,43,2,47967,1,1,10,CA
M,42,4,47849,1,0,3,ID
F,55,4,47785,0,0,2,LA
M,43,4,47722,2,1,13,CA
F,43,2,47603,2,0,4,WI
M,24,2,47492,2,0,2,NH
F,38,4,47481,2,0,4,MN
F,35,4,47291,1,0,2,MA
F,71,2,47284,2,0,5,MS
F,44,4,47283,4,0,2,SD
M,51,4,47241,1,0,5,TN
F,53,2,47155,5,0,5,UT
F,52,4,47116,3,0,4,MT
F,26,4,46943,1,1,11,ND
M,86,2,46754,0,0,4,CA
F,44,4,46748,5,0,4,GA
F,47,4,46734,2,0,3,MS
